,importance,name
988,0.0018344649703869106,"sensor1__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)"
780,0.0017847268568978092,"sensor0__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)"
92,0.00172570465620832,"sensor1__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean"""
390,0.0016843575638958845,"sensor0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4"
277,0.0016418393901059896,"sensor2__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
817,0.0015541430811553424,sensor3__standard_deviation
956,0.001522503677214529,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var"""
1090,0.0015207923898492362,sensor2__minimum
626,0.001498866752485184,"sensor1__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean"""
728,0.0014933528826671042,"sensor1__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)"
326,0.0014879394910561807,sensor2__quantile__q_0.9
377,0.0014674685082104503,"sensor1__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
158,0.0014668173497180428,"sensor1__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)"
720,0.001427566572070066,sensor3__maximum
431,0.0014116357148746443,sensor2__time_reversal_asymmetry_statistic__lag_3
996,0.0014031568861105732,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
816,0.0013819887019673592,sensor3__variance
1217,0.0013436558254521084,sensor1__quantile__q_0.8
515,0.0013397186038696441,"sensor2__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)"
95,0.0013288589678125602,"sensor1__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
394,0.001306174558411017,"sensor2__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)"
293,0.0013059629067252415,"sensor2__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)"
78,0.0012623196419133556,"sensor0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4"
234,0.0012436398891500868,"sensor2__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)"
847,0.0012420964347721118,"sensor3__linear_trend__attr_""stderr"""
594,0.0011124772214242157,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max"""
1266,0.0011035178876075463,"sensor1__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2"
534,0.0010681084105035857,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max"""
38,0.001061128972650956,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6"
1,0.0010538141036418609,"sensor0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
598,0.0010450087333798495,sensor3__abs_energy
113,0.0010365123256882139,"sensor0__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)"
114,0.0010261443535272876,"sensor2__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2"
271,0.0009992021649985027,"sensor2__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean"""
71,0.0009920646445933361,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean"""
697,0.0009657566775309392,sensor2__variance
743,0.0009626171642145193,"sensor3__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
