,importance,name,cumsum
98,0.0027251792933371383,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.4610020335068195
99,0.0027195936527982644,sensor3__standard_deviation,0.4637216271596178
100,0.0026994402137835616,"sensor2__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.46642106737340133
101,0.0026919048634843697,"sensor0__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.4691129722368857
102,0.002668761732969351,"sensor3__fft_coefficient__attr_""real""__coeff_1",0.47178173396985507
103,0.002621332332597675,"sensor1__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.4744030663024527
104,0.0026201456881356773,"sensor2__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.4770232119905884
105,0.0026098900020761133,"sensor2__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",0.4796331019926645
106,0.002597542840478233,"sensor1__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.48223064483314276
107,0.0025957047281551654,"sensor1__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.48482634956129794
108,0.0025894074624895906,"sensor3__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.48741575702378753
109,0.0025749236099340523,"sensor3__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.4899906806337216
110,0.00254844885785983,"sensor3__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.4925391294915814
111,0.002530491173395244,sensor2__spkt_welch_density__coeff_2,0.4950696206649767
112,0.00252544794426614,"sensor1__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.4975950686092428
113,0.0025170284545667594,sensor2__autocorrelation__lag_3,0.5001120970638095
114,0.0025056413784955854,"sensor1__fft_coefficient__attr_""real""__coeff_2",0.5026177384423052
115,0.0025009900844288513,"sensor1__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",0.505118728526734
116,0.002488917641721842,"sensor1__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",0.5076076461684559
117,0.002465547341701703,"sensor1__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.5100731935101576
118,0.002458618491441168,"sensor0__fft_coefficient__attr_""real""__coeff_0",0.5125318120015987
119,0.002454529413147524,"sensor2__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.5149863414147462
120,0.0024381865640244835,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.5174245279787707
121,0.002415295742220454,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.5198398237209911
122,0.0024118564711162233,"sensor2__fft_coefficient__attr_""real""__coeff_2",0.5222516801921073
123,0.0024075254310736848,sensor3__root_mean_square,0.524659205623181
124,0.0024009533496756885,"sensor2__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",0.5270601589728567
125,0.002398232904400787,"sensor0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.5294583918772575
126,0.0023923095192058,sensor1__root_mean_square,0.5318507013964633
127,0.002391870685848718,sensor2__absolute_sum_of_changes,0.534242572082312
128,0.0023878192375892094,"sensor3__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.5366303913199012
129,0.002385678434264291,"sensor0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.5390160697541655
130,0.00238423757690639,"sensor2__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.5414003073310719
131,0.0023633220939893794,"sensor1__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.5437636294250613
132,0.0023558828791174495,sensor3__index_mass_quantile__q_0.4,0.5461195123041788
133,0.002351935819885471,"sensor0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",0.5484714481240642
134,0.0023472621630874486,sensor1__first_location_of_minimum,0.5508187102871517
135,0.0023178296761570973,sensor2__autocorrelation__lag_6,0.5531365399633088
136,0.0023161282222396375,sensor1__standard_deviation,0.5554526681855484
